timestep counter year t Rntot lEtot Htot Rnctot lEctot Hctot Actot Rnstot lEstot Hstot Gtot Resp aPAR aPAR_Cab faPAR aPAR_energyunits fluortot fluor_yield
""        ""      ""  JulianDay  Wm-2   Wm-2 Wm-2 Wm-2 Wm-2   Wm-2 umolm-2s-1 Wm-2 Wm-2 Wm-2 Wm-2 umolm-2s-1 umolm-2s-1 umolumol-1 Wm-2  W m-2 WW^{-1}
        1       202         0    0.0000    372.43    272.29     73.78    298.56    236.97     61.58     28.51     73.87     35.32     12.20     25.85      0.00   1176.99    935.23      0.89    257.94   0.4014  0.001556
